Team,Wins,Téléphone,Adresse
,44,,
,31,,
,46,,
,49,,
,46,,
,39,,
,32,,
,36,,
,47,,
,36,,
,43,,
,41,,
,38,,
,50,,
,36,,
,42,,
,45,,
,33,,
,51,,
,38,,
,43,,
,47,,
,47,,
,48,,
,40,,
,40,,
,56,,
,37,,
,44,,
,46,,
,43,,
,42,,
,43,,
,42,,
,39,,
,42,,
,46,,
,41,,
,47,,
,36,,
,52,,
,44,,
,43,,
,41,,
,39,,
,27,,
,22,,
,24,,
,24,,
,17,,
,33,,
,22,,
,22,,
,28,,
,29,,
,30,,
,28,,
,18,,
,22,,
,40,,
,34,,
,40,,
,47,,
,62,,
,41,,
,40,,
,37,,
,41,,
,45,,
,49,,
,39,,
,36,,
,40,,
,34,,
,49,,
,48,,
,38,,
,36,,
,35,,
,45,,
,38,,
,45,,
,38,,
,39,,
,36,,
,39,,
,49,,
,44,,
,38,,
,37,,
,48,,
,42,,
,40,,
,45,,
,40,,
,35,,
,39,,
,37,,
,34,,
,44,,
,51,,
,43,,
,33,,
,47,,
,44,,
,37,,
,39,,
,38,,
,31,,
,37,,
,45,,
